Tweet,Truth,Victor,Alexandre,Sarah,Eliott
Merkel will not allow media to report; 'migrant' beheads 1yr old baby girl! #EuropeWeeps #NeverSharia #DeportThemAll #WakeUpEurope #WakeUpAustralia #WakeUpAmerica,1,0,0,0,0
"Funny how my whole middle school bullied me but now they either turned out weird , fat ,  or ugly lmao my bitch karma dont know how to act 😭",0,0,0,0,0
"The person on the left was an innocent American child, murdered needlessly! The person on the right is an ILLEGAL ALIEN who needlessly murdered the innocent American child on the left! #BuildItNow #BuildThatWall",1,0,0,0,0
@user Stop Wasting Taxpayers Money On Illegal Alien #Immigraiton Programs that Cost $40 Million More! Kill the program and #SendThemBack faster #Trump #MAGA #RedNationRising #GOP,1,0,0,0,0
"B"""@USAToday Corrected Title """"Illegals caused their own probelms by bringing their kids to commit a crime of invading the U.S !"""" They need to learn how to follow the law and come LEGALLY! Problem Solve #SendThemHome #Trump #MAGA #Immigration #No1MoreIllegal""",1,0,0,0,0
itch how is you gonna claim to be a ""real"" nigga, yet still on that hoe shit? I'm not understanding the math, i'm ????",0,1,0,0,0
"@user The swamp yeah lol ""You from Baltimore bitch""",0,0,0,0,0
Bitch how?? Nobody watched your videos. You we're just a hoe for male rappers sis.. U not even a rapper at all hone…,1,1,0,0,0
@user I lied bitch but Ik you saw me text your ugly hoe ass!!,1,0,0,0,0
@user BITCH ! i would write a whole thesis statement on why i hate ur crusty ass but omf i love u to death HAPPY BIRTHDAY WIFIE 😻,0,0,0,0,0
This is outrageous! #StopIllegalImmigration  #MeritImmigration,1,0,0,0,0
@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!,1,0,0,0,0
how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes,1,1,0,0,0
@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.,1,0,0,0,0
@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall,1,0,0,0,0
#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum,1,1,0,0,0
@user @user They can scrim whoever they fucking want this isn't a fucking chall you dumb bitch,1,1,0,0,0
Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…,1,1,0,0,0
@user @user Toronto is starting to sound like LondonstanWe have to get on the #MadMax2019 train!!@MaximeBernier is the only one who can get our country back.#BanMuslims #BanIslam #SendThemBack,1,0,0,0,0
Thank you @user @user for doing the right thing and appointing John Kyl to the seat of the late @user America Thanks You!Please #RETWEETConfirm Kavanaugh to #SCOTUS Join us @ #BuildThatWall @,1,0,0,0,0
Shut your dumbass up bitch we all know you a hoe,1,1,0,0,0
Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯,1,1,0,0,0
You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.,1,0,0,0,0
Bitches Boyfriends/baby daddy/ husband be locked up for 10 minutes and already going out to be a hoe bitch you sad 😂,1,0,0,0,0
@user Please visit today to honor the thousands of victims killed by illegal aliens!We are building a memorial wall.#RETWEETHelp #BuildThatWall in their memory!Follow @user & @user,1,0,0,0,0
Bitches hollering it's tooo hot!! Well bitch go back to winter you can have that shit hoe you wasn't yelling it when yo ass was freezing 🙄👉,1,1,0,0,0
#ConfirmKavanaugh#Democrats will thrash and scream no matter what @user does. #RINOS stop #obstructing Let's fulfill #MAGA agenda!#BuildThatWall#NoSanctuary#DrainTheSwamp#AmericaFirst#ConfirmJudgeKavanaugh#DemocratsHateAmerica#WalkAway#VoteRedToSaveAmerica,1,0,0,0,0
Ion want your side hoe I want your main bitch,1,1,0,0,0
#newday they are not asylum seekers they are illegal immigrants #sendthemback,1,0,0,0,0
@user Here is an encouraging word: I heard it suggested recently - maybe by or on @user TV Show - or maybe by Ann herself - that somebody should tell our US President @user & @user we do not need to go to US Congress for funds to #BuildThatWall #BuildTheWall #BuildTheDamnWallNOW,1,0,0,0,0
FYI @user I AM A former LEGAL A.L.I.E.N !!!! Now I am a citizen! As an immigrant I strongly oppose #IllegalAliens and #illegalImmigration Its wrong and unfair to all the #LegalAliens !,1,0,0,0,0
